,1960,1970,1980,1990,2000
CanESM5,-0.021498817531645866,-0.015901263952591806,-0.005417633148032193,0.0020272438147018986,0.0012448910037165695
GFDL-ESM4,-0.02087210969360097,-0.013569228261886475,-0.0006400615518899735,-0.011808879087978098,-0.006975695551656267
GISS-E2-1-G,-0.02145110748031972,-0.02093589105082735,-0.010943810723760175,-0.005791919166238051,0.0005113540025193163
HadGEM3-GC31-LL,-0.03182373471821615,-0.02262372014649465,-0.005058934613120101,0.002752126597550096,0.006709075643108415
IPSL-CM6A-LR,-0.012327882010963262,-0.008698401691137567,-0.009246902766694723,-0.009659928982901227,-0.0006505728826830872
MIROC6,-0.01628849407374342,-0.017363069518278963,-0.011503862258385181,-0.005935752974000952,0.0019467817525645377
NorESM2-LM,-0.03435160922387445,-0.020054723397022505,-0.00576339845172343,-0.0027953992230191336,0.00018055192731275695
MRI-ESM2-0,-0.051082000198078396,-0.010917218737677816,-0.0011932703846760473,-0.002705806766382559,-0.0063018774374946395
UKESM1-0-LL,-0.015981913509146066,-0.01903774525887129,-0.002432161843494123,0.002968855773963626,0.01519772539782603
